Package/Bezeichnung/Footprint/Description;    ;                                                                   ;                    ;Packaging Type                                ;Mount Type   ;Length;Width
OBGA                                     ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
TFBGA                                    ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
PBGA                                     ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
MAP-BGA                                  ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
UCSP                                     ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
BGA                                      ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
LFBGA                                    ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
TBGA                                     ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
SBGA                                     ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
UFBGA                                    ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
MELF, MMB                                ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOD                                      ;Enum;SOD-123,SOD-323,SOD-523,SOD-923                                    ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-23-3                                 ;Enum;SOT-23, TO-236AB, SOT-346, SC-59A, TO-236AA, SMT3                  ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-323                                  ;Enum;SC-70-3, UMT3                                                      ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
DO-214                                   ;Enum;SMA,SMB,SMC,GF1                                                    ;Elektronic Component;Transistor, diode, small-pin-count IC packages;SMT          ;      ;
DO-213                                   ;Enum;MELF,SOD-80,LL34                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
DO-204                                   ;Enum;DO-7,DO-35,DO-41,SOD27,SOD66                                       ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
MiniMELF, MMA                            ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
MicroMELF, MMU                           ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-416                                  ;Enum;SOT-523, SC-75A, SC-90, EMT3                                       ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-23-5                                 ;Enum;SOT-25, SC-74A, SOT-753, MO-178AA, SMT5                            ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-353                                  ;Enum;SC-70-5, SC-88A, TSSOP-5, UMT5                                     ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-553                                  ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-23-6                                 ;Enum;SOT-26, SC-59-6, SC-74, TSOP-6, MO-178AB, SMT6, SM6, Mini6, SOT-457;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-363                                  ;Enum;SC-70-6, SC-88, TSSOP-6, UMT6, US6, S-Mini6                        ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-563                                  ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-23-8                                 ;Enum;SOT-28                                                             ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-54                                   ;Enum;TO-92                                                              ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-143                                  ;Enum;TO-253                                                             ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-343                                  ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-490                                  ;Enum;SOT-523F, SC-89, EMT3F                                             ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-89-3                                 ;Enum;TO-243AA, SC-62, MPT3                                              ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-89-5                                 ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-223                                  ;Enum;SOT-223-4, SC-73, TO-261AA                                         ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-223-5                                ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
SOT-223-8                                ;Enum;SM-8                                                               ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-3                                     ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-5                                     ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-39                                    ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-46                                    ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-66                                    ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-92                                    ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-99                                    ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-100                                   ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-126                                   ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-220                                   ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-226                                   ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-247                                   ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;THT          ;      ;
TO-251                                   ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;SMT          ;      ;
TO-252                                   ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;SMT          ;      ;
TO-262                                   ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;SMT          ;      ;
TO-263                                   ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;SMT          ;      ;
TO-274                                   ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;SMT          ;      ;
SiP                                      ;Enum;                                                                   ;Elektronic Component;Multi-chip packages                           ;3D Assembling;      ;
PoP                                      ;Enum;                                                                   ;Elektronic Component;Multi-chip packages                           ;3D Assembling;      ;
WSI                                      ;Enum;                                                                   ;Elektronic Component;Multi-chip packages                           ;3D Assembling;      ;
EIA-1608-08                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-1608-10                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-2012-12                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-2012-15                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-3216-10                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-3216-12                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-3216-18                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-3528-12                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
